step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
5250,8.718861743695072e-11,5.452026757374579e-06,3.299722294344963e-06,4.56092776244889e-08,1.734903699812662e-05,1.1501070460528942e-05,1.7304604388801436e-05
5500,9.39279036493712e-12,1.7361049867298566e-06,1.0725511434339113e-06,-4.032122377782885e-08,5.4636634256866046e-06,3.562818960833879e-06,5.437295879602288e-06
5750,1.5198325454060524e-12,7.167898009652945e-07,4.599110641106698e-07,3.656396172079299e-08,2.355363948325362e-06,1.5612226677674802e-06,2.1873960921503494e-06
6000,3.6856029838293336e-13,3.625493078110895e-07,2.7653392985018043e-07,1.0234807765318096e-07,1.0131964067738863e-06,7.41424342187713e-07,9.970838599038243e-07
6250,3.7752849380012776e-07,8.430722811943543e-05,5.694806352529724e-05,-2.9197691585211704e-05,0.00036642710078993446,0.00013676654041869783,0.00030052367645572116
6500,3.7391389984264833e-10,1.1153710904193274e-05,5.732124000346062e-06,1.086704136201076e-08,4.337117504071841e-05,2.457918717642115e-05,3.828400140770678e-05
6750,3.730046133076925e-11,3.491566315126955e-06,2.0091049161272794e-06,-2.9014578845341194e-08,1.1701057024637862e-05,7.0666827797438685e-06,1.1527414133638557e-05
7000,5.771575058155509e-12,1.384993763771126e-06,8.440678299372789e-07,-1.62689064336654e-08,4.439278926682277e-06,2.8452426089842212e-06,4.386361322410437e-06
7250,1.449503060982349e-12,6.797508114355175e-07,4.47094515061102e-07,-2.983688031035637e-08,2.1689386269230226e-06,1.5233519139457015e-06,2.1227360140585457e-06
7500,3.6155581024759076e-13,3.4304048900800436e-07,2.4560601975478915e-07,-2.5725372900692058e-08,1.0292288177282671e-06,8.063632977339806e-07,9.688661743645349e-07
7750,1.1374081743727865e-13,2.1830772249268338e-07,1.5632193376783712e-07,1.3745096574152306e-08,7.25329028838928e-07,4.874992591830105e-07,6.621250200566914e-07
8000,7.385474068248576e-14,1.3845099930742666e-07,1.1615282145628823e-07,-3.5181839832955037e-08,2.8803950513633936e-07,2.3437653720037583e-07,2.7710467859876064e-07
8250,6.815031259590695e-14,1.5464107803014125e-07,1.3007828841573483e-07,-2.449192083005192e-08,3.2626368451360577e-07,2.6893011764173023e-07,3.118584172590032e-07
8500,4.067889959342291e-14,1.5077203114529103e-07,1.2255141050114085e-07,4.869290820288424e-08,3.2865238708268407e-07,2.766484718641493e-07,3.267519016425524e-07
8750,1.1740262984005767e-08,4.654545299071542e-05,3.368526888193811e-05,9.3799127845647e-06,0.00012038426116056655,0.00010541532100862835,0.0001148040724179466
9000,1.080992240165557e-10,5.9604367727678274e-06,3.633829852514988e-06,1.7651028363797563e-08,2.02457994280536e-05,1.2707181341298223e-05,1.717936848095289e-05
9250,1.4468720492544218e-11,2.2105682414350094e-06,1.3116977904271635e-06,-3.333166153667088e-08,7.570844889670525e-06,4.715695871215785e-06,7.004261139389451e-06
9500,3.215316901616916e-12,1.0431818138578718e-06,6.672592336443017e-07,4.3553524004245165e-08,3.4264455859300824e-06,2.2000530299770556e-06,3.1997025785557276e-06
9750,7.785229167063534e-13,5.245184516627313e-07,3.365594442292891e-07,4.067546904586888e-08,1.9413691685343792e-06,1.1164652956807684e-06,1.6579860377063913e-06
