step,total_loss,data_loss,grad_loss,lambda_grad_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
4750,6.66983123664977e-06,7.476035346343224e-10,8.424105644226074,7.916666666666666e-07,1.8110150247189657e-05,1.595609971980071e-05,7.064826737592154e-07,3.667793384032336e-05,2.9891317268671e-05,3.504344768543886e-05
5000,7.72994553699391e-06,1.000593670141825e-06,8.07522201538086,8.333333333333333e-07,0.000739710028028962,0.0006468796257764488,0.0005509958803552687,0.001447074839864726,0.0011288060258404897,0.0013324923650458577
5250,6.906551789143123e-06,1.649111780466228e-08,7.874355316162109,8.75e-07,8.175477681680759e-05,5.6589059190465764e-05,-2.8621720813944085e-05,0.00024242749527125795,0.00019830398776630163,0.00022760181409548595
5500,7.1672266130917706e-06,4.069118375582548e-08,7.774402141571045,9.166666666666665e-07,0.00010292883341439842,9.005984664816375e-05,-6.748140027788114e-05,0.00020663278281674025,0.00015380833386906544,0.00018716702740640282
5750,7.354080025834264e-06,1.1721829196176259e-07,7.551507949829102,9.583333333333334e-07,0.00023062410179588118,0.00016727526451835014,0.00015296356204049947,0.000678645445184145,0.0004113529830853223,0.0006231550767319755
6000,2.5249142709071748e-05,1.768002039170824e-05,7.569122791290283,1e-06,0.0026332307876191937,0.0017704271319673264,0.001017270610486192,0.008703490834987448,0.00530526699525211,0.00772209831243198
6250,8.051957593124826e-06,7.139615831874835e-07,7.337995529174805,1e-06,0.0005700638263317516,0.00044548579254953866,-0.0003419927599728518,0.001375387923214788,0.0010913551087084802,0.0012940965334000858
6500,2.4311088054673746e-05,1.713018718874082e-05,7.180901527404785,1e-06,0.0029065686838592015,0.0025331474411666747,0.0013595426932265838,0.005268023916924491,0.004769017246882967,0.005165959502619123
6750,1.198410609504208e-05,4.867723873758223e-06,7.116381645202637,1e-06,0.001276719904798095,0.0010130856490175653,-9.228720276383788e-05,0.0028369149680980144,0.002359499463575254,0.0027178443566153545
7000,1.1221765817026608e-05,4.377337972982787e-06,6.844428062438965,1e-06,0.0014218074586389185,0.00110190282142992,0.0006507872235105559,0.0034843692373520696,0.002594038159055678,0.0032046046168790606
